Node,X,Y,D0,D1,D2,D3,D4,D5
0,171,96,12,19,27,24,36,29
1,181,58,23,34,53,56,65,50
2,148,173,16,29,29,39,44,40
3,186,123,27,25,41,54,61,45
4,100,194,22,34,44,43,50,42
5,89,112,21,29,28,31,41,38
6,179,100,18,34,32,45,52,44
7,139,18,19,22,28,30,38,29
8,6,19,14,24,26,39,32,36
9,149,145,13,23,30,30,47,36
10,164,147,38,45,63,69,73,75
11,115,56,11,25,30,30,31,29
12,54,28,24,31,46,54,61,50
13,80,90,31,39,46,50,64,57
14,36,57,18,26,33,42,51,33
15,172,183,0,0,0,0,0,0
16,159,156,8,11,24,24,30,24
17,149,70,31,35,54,55,71,59
18,128,124,32,48,63,56,81,72
19,127,91,23,47,64,60,79,63
20,53,185,31,42,54,62,76,64
21,153,194,18,26,31,39,48,40
22,63,139,17,23,33,32,40,44
23,187,24,0,0,0,0,0,0
24,105,6,31,50,79,82,91,82
25,92,61,20,23,35,35,34,33
26,28,103,33,52,57,71,78,57
27,91,104,9,13,21,20,25,21
28,20,136,44,40,57,77,92,67
29,187,7,17,24,33,34,41,35
30,59,175,9,14,22,22,29,21
31,162,41,14,23,23,30,34,26
32,77,24,33,29,64,53,70,62
33,62,32,11,22,28,25,38,34
34,93,186,22,21,29,38,42,33
35,141,84,42,48,74,72,83,74
36,48,159,28,48,59,65,68,63
37,33,87,27,36,46,51,65,76
38,23,85,10,20,26,30,41,31
39,82,39,25,38,51,47,76,54
40,191,153,12,15,20,23,23,22
41,122,44,22,23,28,35,44,34
42,43,24,0,0,0,0,0,0
43,11,192,12,20,27,32,36,23
44,110,118,20,29,31,37,42,40
45,74,140,23,37,70,67,70,60
46,33,170,0,0,0,0,0,0
47,39,81,21,51,57,67,75,57
48,116,35,6,22,25,33,38,31
49,88,164,13,21,27,36,37,31
