Node,X,Y,Demand
0,171,96,28
1,181,58,54
2,148,173,39
3,186,123,45
4,100,194,42
5,89,112,33
6,179,100,47
7,139,18,32
8,6,19,33
9,149,145,36
10,164,147,63
11,115,56,29
12,54,28,55
13,80,90,52
14,36,57,37
15,172,183,0
16,159,156,24
17,149,70,53
18,128,124,65
19,127,91,62
20,53,185,59
21,153,194,36
22,63,139,35
23,187,24,0
24,105,6,75
25,92,61,32
26,28,103,66
27,91,104,21
28,20,136,76
29,187,7,36
30,59,175,23
31,162,41,30
32,77,24,62
33,62,32,31
34,93,186,37
35,141,84,72
36,48,159,60
37,33,87,58
38,23,85,31
39,82,39,59
40,191,153,21
41,122,44,33
42,43,24,0
43,11,192,27
44,110,118,36
45,74,140,64
46,33,170,0
47,39,81,63
48,116,35,30
49,88,164,32
